Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       98     0.00     0.00  clipp::str::remove_ws<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)::{lambda(char)#1}::operator()(char) const
  0.00      0.00     0.00       95     0.00     0.00  __gnu_cxx::__normal_iterator<clipp::group::child_t<clipp::parameter, clipp::group> const*, std::vector<clipp::group::child_t<clipp::parameter, clipp::group>, std::allocator<clipp::group::child_t<clipp::parameter, clipp::group> > > >::operator*() const
  0.00      0.00     0.00       94     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.00     0.00       90     0.00     0.00  Food::CheckCollision(Point)
  0.00      0.00     0.00       87     0.00     0.00  std::_Vector_base<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       86     0.00     0.00  clipp::group::child_t<clipp::parameter, clipp::group>::destroy_content()
  0.00      0.00     0.00       86     0.00     0.00  clipp::group::child_t<clipp::parameter, clipp::group>::data::~data()
  0.00      0.00     0.00       86     0.00     0.00  clipp::group::child_t<clipp::parameter, clipp::group>::~child_t()
  0.00      0.00     0.00       86     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00      0.00     0.00       86     0.00     0.00  void std::destroy_at<clipp::group::child_t<clipp::parameter, clipp::group> >(clipp::group::child_t<clipp::parameter, clipp::group>*)
  0.00      0.00     0.00       82     0.00     0.00  std::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)>::~function()
  0.00      0.00     0.00       82     0.00     0.00  clipp::detail::action_provider<clipp::parameter>::simple_action_adapter*& std::_Any_data::_M_access<clipp::detail::action_provider<clipp::parameter>::simple_action_adapter*>()
  0.00      0.00     0.00       80     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00       80     0.00     0.00  std::_Vector_base<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00       78     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator() const
